Policy Area,Description
Agriculture and Food,"Primary focus of measure is agricultural practices; agricultural prices and marketing; agricultural education; food assistance or nutrition programs; food industry, supply, and safety; aquaculture; horticulture and plants. Measures concerning international trade in agricultural products may fall under Foreign Trade and International Finance policy area."
Animals,Primary focus of measure is animal protection; human-animal relationships; wildlife conservation and habitat protection; veterinary medicine. Measures concerning endangered or threatened species may fall under Environmental Protection policy area. Measures concerning wildlife refuge matters may fall under Public Lands and Natural Resources policy area.
Armed Forces and National Security,"Primary focus of measure is military operations and spending, facilities, procurement and weapons, personnel, intelligence; strategic materials; war and emergency powers; veterans’ issues. Measures concerning alliances and collective security, arms sales and military assistance, or arms control may fall under International Affairs policy area."
"Arts, Culture, Religion","Primary focus of measure is art, literature, performing arts in all formats; arts and humanities funding; libraries, exhibitions, cultural centers; sound recording, motion pictures, television and film; cultural property and resources; cultural relations; and religion. Measures concerning intellectual property aspects of the arts may fall under Commerce policy area. Measures concerning religious freedom may fall under Civil Rights and Liberties, Minority Issues policy area."
"Civil Rights and Liberties, Minority Issues","Primary focus of measure is discrimination on basis of race, ethnicity, age, sex, gender, health or disability; First Amendment rights; due process and equal protection; abortion rights; privacy. Measures concerning abortion rights and procedures may fall under Health policy area."
Commerce,"Primary focus of measure is business investment, development, regulation; small business; consumer affairs; competition and restrictive trade practices; manufacturing, distribution, retail; marketing; intellectual property. Measures concerning international competitiveness and restrictions on imports and exports may fall under Foreign Trade and International Finance policy area."
Congress,"Primary focus of measure is Members of Congress; general congressional oversight; congressional agencies, committees, operations; legislative procedures; U.S. Capitol. Measures concerning oversight and investigation of specific matters may fall under the issue-specific relevant policy area."
Crime and Law Enforcement,"Primary focus of measure is criminal offenses, investigation and prosecution, procedure and sentencing; corrections and imprisonment; juvenile crime; law enforcement administration. Measures concerning terrorism may fall under Emergency Management or International Affairs policy areas."
Economics and Public Finance,"Primary focus of measure is budgetary matters such as appropriations, public debt, the budget process, government lending, government accounts and trust funds; monetary policy and inflation; economic development, performance, and economic theory."
Education,"Primary focus of measure is elementary, secondary, or higher education including special education and matters of academic performance, school administration, teaching, educational costs, and student aid."
Emergency Management,"Primary focus of measure is emergency planning; response to civil disturbances, natural and other disasters, including fires; emergency communications; security preparedness."
Energy,"Primary focus of measure is all sources and supplies of energy, including alternative energy sources, oil and gas, coal, nuclear power; efficiency and conservation; costs, prices, and revenues; electric power transmission; public utility matters."
Environmental Protection,"Primary focus of measure is regulation of pollution including from hazardous substances and radioactive releases; climate change and greenhouse gases; environmental assessment and research; solid waste and recycling; ecology. Measures concerning energy exploration, efficiency, and conservation may fall under Energy policy area."
Families,"Primary focus of measure is child and family welfare, services, and relationships; marriage and family status; domestic violence and child abuse. Measures concerning public assistance programs or aging may fall under Social Welfare policy area."
Finance and Financial Sector,Primary focus of measure is U.S. banking and financial institutions regulation; consumer credit; bankruptcy and debt collection; financial services and investments; insurance; securities; real estate transactions; currency. Measures concerning financial crimes may fall under Crime and Law Enforcement. Measures concerning business and corporate finance may fall under Commerce policy area. Measures concerning international banking may fall under Foreign Trade and International Finance policy area.
Foreign Trade and International Finance,"Primary focus of measure is competitiveness, trade barriers and adjustment assistance; foreign loans and international monetary system; international banking; trade agreements and negotiations; customs enforcement, tariffs, and trade restrictions; foreign investment. Measures concerning border enforcement may fall under Immigration policy area."
Government Operations and Politics,"Primary focus of measure is government administration, including agency organization, contracting, facilities and property, information management and services; rulemaking and administrative law; elections and political activities; government employees and officials; Presidents; ethics and public participation; postal service. Measures concerning agency appropriations and the budget process may fall under Economics and Public Finance policy area."
Health,"Primary focus of measure is science or practice of the diagnosis, treatment, and prevention of disease; health services administration and funding, including such programs as Medicare and Medicaid; health personnel and medical education; drug use and safety; health care coverage and insurance; health facilities. Measures concerning controlled substances and drug trafficking may fall under Crime and Law Enforcement policy area."
